convocante_limpio,monto_promedio,frecuencia,prop_directa,diversidad_proveedores,cluster
Suoc Cordillera,116519603.6,35,0.7428571428571429,27,2
Tribunal Superior de Justicia Electoral,3559345247.0842824,439,0.07289293849658314,332,1
Unidad Administrativa Financiera Nro. 2,180895541.43076923,65,0.7384615384615385,43,2
Universidad Nacional de Asunción,478969066.2688172,93,0.3763440860215054,40,0
Universidad Nacional de Canindeyu,86926414.58333333,72,0.9305555555555556,40,2
Universidad Nacional de Concepción,88974366.125,152,0.8092105263157895,55,2
Universidad Nacional de Itapúa,154963883.63432837,134,0.7611940298507462,56,2
Universidad Nacional de Pilar,61775939.57446808,47,0.9787234042553191,18,2
Universidad Nacional de Villarrica del Espiritu Santo,171395980.34848484,66,0.5454545454545454,52,0
Universidad Politécnica Taiwán – Paraguay,269280735.7692308,13,0.38461538461538464,10,0
Vicepresidencia de la República,151458924.78947368,38,0.8421052631578947,32,2
